año,codigo_linea,linea,expediciones_anuales,dias_servicio
2023,A3528,BERMEO - MUNGIA - DERIO - UPV/EHU,6238,497
2023,A3529,MUNGIA - GAMIZ FIKA,6008,751
2023,A3530,MUNGIA - MEÃAKA - ARRIETA,6008,751
2023,A3531,LEIOA - Hospital Urduliz Ospitalea - GATIKA - MUNGIA,24442,909
2023,A3532,GERNIKA LUMO - NABARNIZ,4361,623
2023,A3533,GERNIKA LUMO - MENDATA,3738,623
2023,A3534,GERNIKA LUMO - ERRIGOITI,3738,623
2023,A3535,LEKEITIO - AMOROTO,4984,623
2023,A3536,LEKEITIO - MENDEXA,5306,669
2023,A3537,PLENTZIA - GORLIZ - MUNGIA,23689,909
2023,A3538,LEKEITIO-Barainka,2492,623
2023,A3613,BILBAO - UGAO MIRABALLES - OROZKO,52310,909
2023,A3622,BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,28905,751
2023,A3631,BILBAO - GALDAKAO - LARRABETZU,77874,909
2023,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),29595,909
2023,A3641,Nerbioi Garaia/Alto Nervion - ARRIGORRIAGA - Hospital Galdakao Ospitalea,67128,909
2023,A3642,BASAURI - Hospital Galdakao Ospitalea (Bengoetxe),50051,751
2023,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,31257,904
2023,A3912,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,29722,909
2023,A3913,Arrazola - DURANGO,26338,904
2023,A3915,BILBAO - DURANGO - ONDARROA (Autopista),28011,909
2023,A3916,BILBAO - ERMUA - ONDARROA (Autopista),30297,909
2023,A3917,BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,32805,909
2023,A3922,MUNITIBAR ARBATZEGI GERRIKAITZ - ZIORTZA BOLIBAR - MARKINA XEMEIN - ETXEBARRIA,8722,623
2023,A3923,BILBAO - DURANGO - ELORRIO (Autopista),29156,909
2023,A3924,ERMUA - DURANGO - UPV/EHU,6238,497
2023,A3925,BILBAO - LEMOA - OTXANDIO - UBIDE,26860,909
2023,A3926,BILBAO - ERMUA - EIBAR (Autopista),28943,909
2023,A3927,BILBAO - LEMOA - ZEANURI (Autopista),17370,579
2023,A3928,ARTEA - ZEBERIO - UGAO MIRABALLES,16397,904
2023,A3930,BILBAO - GALDAKAO (Autopista),39843,699
2023,A3931,GARAI - DURANGO,4361,623
2023,A3932,GALDAKAO - Metro Bolueta,96005,909
2023,A3933,BILBAO - DURANGO (Autopista),36683,623
2024,A0651,BILBAO - BALMASEDA,46581,913
2024,A0652,LANESTOSA - BALMASEDA,9990,913
2024,A0653,TRUCIOS TURTZIOZ - ARTZENTALES,8764,626
2024,A0654,BALMASEDA - Gurutzeta/Cruces - UPV/EHU,16274,626
